0	0	1	0	15011517
2	1	3	0	15011516
4	1	5	1	15013211
0	2	6	1	15013078
6	2	0	1	15013077
2	1	3	3	15018249
0	2	6	3	15018247
6	2	0	3	15018246
0	0	1	3	15018250
7	3	8	3	15017877
0	0	1	3	15018103
2	1	3	3	15018102
9	1	7	3	15017876
10	1	11	4	15020150
12	4	13	5	15021946
14	1	15	5	15021812
12	4	16	5	15021947
14	1	15	5	15021974
14	1	15	5	15023615
17	4	16	5	15023409
18	5	19	5	15023392
12	4	13	5	15023393
12	4	16	5	15021961
17	4	16	5	15024653
2	2	20	5	15024348
21	1	7	5	15023950
21	2	2	5	15023951
20	6	0	5	15024349
22	7	2	5	15024351
10	1	11	5	15024412
23	8	24	5	15024350
25	1	26	6	15028614
12	4	13	6	15025415
17	4	27	6	15025292
2	1	28	6	15028698
29	9	30	6	15027344
2	10	12	6	15027342
31	9	30	6	15027481
29	9	30	6	15027480
31	9	30	6	15027345
12	11	2	6	15027346
20	12	12	7	15032009
32	4	33	7	15028933
34	2	35	7	15031619
1	13	36	10	15039202
1	13	12	10	15039201
37	13	38	10	15038469
39	14	2	10	15039542
37	15	40	10	15038468
2	14	39	10	15039543
37	13	36	10	15037743
1	13	12	10	15037742
38	1	28	10	15039663
2	1	15	10	15035899
1	13	36	10	15038227
12	3	41	10	15038068
42	1	43	10	15038063
29	1	37	10	15038001
2	16	6	10	15038056
1	16	0	10	15038163
33	0	44	11	15044008
45	1	0	11	15043203
12	17	7	11	15042856
7	0	46	11	15042855
7	8	12	11	15040219
2	1	12	11	15044332
2	1	12	11	15042631
2	1	26	11	15042507
47	1	6	11	15042484
2	1	6	11	15042483
47	1	6	11	15042485
48	15	29	12	15044582
49	2	12	12	15046808
50	8	2	12	15046674
45	1	0	12	15046641
45	1	0	12	15044745
7	18	12	12	15044621
12	18	7	12	15044620
38	1	28	12	15047698
45	1	0	12	15047822
8	0	2	12	15047959
12	19	51	12	15048094
6	0	38	12	15047958
52	20	53	12	15048737
29	7	1	13	15049414
54	2	1	13	15052934
55	2	1	13	15052933
54	2	1	13	15051357
56	2	57	13	15051423
12	2	57	13	15051422
55	2	1	13	15051356
2	1	58	13	15052256
2	14	59	13	15052521
52	20	53	13	15052837
12	17	60	13	15052537
12	21	2	13	15052524
2	21	12	13	15052522
59	14	2	13	15052523
61	1	12	14	15057189
29	4	1	14	15053544
25	1	46	14	15055045
2	14	62	14	15055032
62	14	2	14	15055033
63	13	36	14	15056310
64	13	36	14	15056311
12	22	55	14	15056554
55	22	12	14	15056555
55	2	1	14	15056552
54	2	1	14	15056553
12	22	65	14	15056556
65	22	12	14	15056557
55	23	12	14	15056558
29	9	20	14	15056572
29	24	12	14	15056573
66	0	1	14	15056631
